2017-12-12 06:54:13 install bzip2:amd64 <none> 1.0.6-7+b3
2017-12-12 06:54:13 status half-installed bzip2:amd64 1.0.6-7+b3
2017-12-12 06:54:13 status unpacked bzip2:amd64 1.0.6-7+b3
2017-12-12 06:54:13 status unpacked bzip2:amd64 1.0.6-7+b3
2017-12-12 06:54:13 install patch:amd64 <none> 2.7.5-1
2017-12-12 06:54:13 status half-installed patch:amd64 2.7.5-1
2017-12-12 06:54:13 status unpacked patch:amd64 2.7.5-1
2017-12-12 06:54:13 status unpacked patch:amd64 2.7.5-1
2017-12-12 06:54:13 install xz-utils:amd64 <none> 5.1.1alpha+20120614-2+b3
2017-12-12 06:54:13 status half-installed xz-utils:amd64 5.1.1alpha+20120614-2+b3
2017-12-12 06:54:13 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2+b3
2017-12-12 06:54:13 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2+b3
2017-12-12 06:54:13 install binutils:amd64 <none> 2.25-5+deb8u1
2017-12-12 06:54:13 status half-installed binutils:amd64 2.25-5+deb8u1
2017-12-12 06:54:14 status unpacked binutils:amd64 2.25-5+deb8u1
2017-12-12 06:54:14 status unpacked binutils:amd64 2.25-5+deb8u1
2017-12-12 06:54:14 install cpp-4.9:amd64 <none> 4.9.2-10
2017-12-12 06:54:14 status half-installed cpp-4.9:amd64 4.9.2-10
2017-12-12 06:54:14 status unpacked cpp-4.9:amd64 4.9.2-10
2017-12-12 06:54:14 status unpacked cpp-4.9:amd64 4.9.2-10
2017-12-12 06:54:14 install cpp:amd64 <none> 4:4.9.2-2
2017-12-12 06:54:14 status half-installed cpp:amd64 4:4.9.2-2
2017-12-12 06:54:14 status unpacked cpp:amd64 4:4.9.2-2
2017-12-12 06:54:14 status unpacked cpp:amd64 4:4.9.2-2
2017-12-12 06:54:14 install libtimedate-perl:all <none> 2.3000-2
2017-12-12 06:54:14 status half-installed libtimedate-perl:all 2.3000-2
2017-12-12 06:54:14 status unpacked libtimedate-perl:all 2.3000-2
2017-12-12 06:54:15 status unpacked libtimedate-perl:all 2.3000-2
2017-12-12 06:54:15 install libdpkg-perl:all <none> 1.17.27
2017-12-12 06:54:15 status half-installed libdpkg-perl:all 1.17.27
2017-12-12 06:54:15 status unpacked libdpkg-perl:all 1.17.27
2017-12-12 06:54:15 status unpacked libdpkg-perl:all 1.17.27
2017-12-12 06:54:15 install make:amd64 <none> 4.0-8.1
2017-12-12 06:54:15 status half-installed make:amd64 4.0-8.1
2017-12-12 06:54:15 status unpacked make:amd64 4.0-8.1
2017-12-12 06:54:15 status unpacked make:amd64 4.0-8.1
2017-12-12 06:54:15 install dpkg-dev:all <none> 1.17.27
2017-12-12 06:54:15 status half-installed dpkg-dev:all 1.17.27
2017-12-12 06:54:15 status unpacked dpkg-dev:all 1.17.27
2017-12-12 06:54:15 status unpacked dpkg-dev:all 1.17.27
2017-12-12 06:54:15 install libgcc-4.9-dev:amd64 <none> 4.9.2-10
2017-12-12 06:54:15 status half-installed libgcc-4.9-dev:amd64 4.9.2-10
2017-12-12 06:54:15 status unpacked libgcc-4.9-dev:amd64 4.9.2-10
2017-12-12 06:54:15 status unpacked libgcc-4.9-dev:amd64 4.9.2-10
2017-12-12 06:54:15 install gcc-4.9:amd64 <none> 4.9.2-10
2017-12-12 06:54:15 status half-installed gcc-4.9:amd64 4.9.2-10
2017-12-12 06:54:16 status unpacked gcc-4.9:amd64 4.9.2-10
2017-12-12 06:54:16 status unpacked gcc-4.9:amd64 4.9.2-10
2017-12-12 06:54:16 install gcc:amd64 <none> 4:4.9.2-2
2017-12-12 06:54:16 status half-installed gcc:amd64 4:4.9.2-2
2017-12-12 06:54:16 status unpacked gcc:amd64 4:4.9.2-2
2017-12-12 06:54:16 status unpacked gcc:amd64 4:4.9.2-2
2017-12-12 06:54:16 install libc-dev-bin:amd64 <none> 2.19-18+deb8u10
2017-12-12 06:54:16 status half-installed libc-dev-bin:amd64 2.19-18+deb8u10
2017-12-12 06:54:16 status unpacked libc-dev-bin:amd64 2.19-18+deb8u10
2017-12-12 06:54:16 status unpacked libc-dev-bin:amd64 2.19-18+deb8u10
2017-12-12 06:54:16 install linux-libc-dev:amd64 <none> 3.16.51-2
2017-12-12 06:54:16 status half-installed linux-libc-dev:amd64 3.16.51-2
2017-12-12 06:54:16 status unpacked linux-libc-dev:amd64 3.16.51-2
2017-12-12 06:54:16 status unpacked linux-libc-dev:amd64 3.16.51-2
2017-12-12 06:54:16 install libc6-dev:amd64 <none> 2.19-18+deb8u10
2017-12-12 06:54:16 status half-installed libc6-dev:amd64 2.19-18+deb8u10
2017-12-12 06:54:17 status unpacked libc6-dev:amd64 2.19-18+deb8u10
2017-12-12 06:54:17 status unpacked libc6-dev:amd64 2.19-18+deb8u10
2017-12-12 06:54:17 install libbz2-dev:amd64 <none> 1.0.6-7+b3
2017-12-12 06:54:17 status half-installed libbz2-dev:amd64 1.0.6-7+b3
2017-12-12 06:54:17 status unpacked libbz2-dev:amd64 1.0.6-7+b3
2017-12-12 06:54:17 status unpacked libbz2-dev:amd64 1.0.6-7+b3
2017-12-12 06:54:17 install libexpat1-dev:amd64 <none> 2.1.0-6+deb8u4
2017-12-12 06:54:17 status half-installed libexpat1-dev:amd64 2.1.0-6+deb8u4
2017-12-12 06:54:17 status unpacked libexpat1-dev:amd64 2.1.0-6+deb8u4
2017-12-12 06:54:17 status unpacked libexpat1-dev:amd64 2.1.0-6+deb8u4
2017-12-12 06:54:17 install zlib1g-dev:amd64 <none> 1:1.2.8.dfsg-2+b1
2017-12-12 06:54:17 status half-installed zlib1g-dev:amd64 1:1.2.8.dfsg-2+b1
2017-12-12 06:54:17 status unpacked zlib1g-dev:amd64 1:1.2.8.dfsg-2+b1
2017-12-12 06:54:17 status unpacked zlib1g-dev:amd64 1:1.2.8.dfsg-2+b1
2017-12-12 06:54:17 install libpng12-dev:amd64 <none> 1.2.50-2+deb8u3
2017-12-12 06:54:17 status half-installed libpng12-dev:amd64 1.2.50-2+deb8u3
2017-12-12 06:54:17 status unpacked libpng12-dev:amd64 1.2.50-2+deb8u3
2017-12-12 06:54:17 status unpacked libpng12-dev:amd64 1.2.50-2+deb8u3
2017-12-12 06:54:17 install libfreetype6-dev:amd64 <none> 2.5.2-3+deb8u2
2017-12-12 06:54:17 status half-installed libfreetype6-dev:amd64 2.5.2-3+deb8u2
2017-12-12 06:54:17 status unpacked libfreetype6-dev:amd64 2.5.2-3+deb8u2
2017-12-12 06:54:17 status unpacked libfreetype6-dev:amd64 2.5.2-3+deb8u2
2017-12-12 06:54:17 install pkg-config:amd64 <none> 0.28-1
2017-12-12 06:54:17 status half-installed pkg-config:amd64 0.28-1
2017-12-12 06:54:17 status unpacked pkg-config:amd64 0.28-1
2017-12-12 06:54:17 status unpacked pkg-config:amd64 0.28-1
2017-12-12 06:54:17 install libfontconfig1-dev:amd64 <none> 2.11.0-6.3+deb8u1
2017-12-12 06:54:17 status half-installed libfontconfig1-dev:amd64 2.11.0-6.3+deb8u1
2017-12-12 06:54:17 status unpacked libfontconfig1-dev:amd64 2.11.0-6.3+deb8u1
2017-12-12 06:54:17 status unpacked libfontconfig1-dev:amd64 2.11.0-6.3+deb8u1
2017-12-12 06:54:17 install libgdbm-dev:amd64 <none> 1.8.3-13.1
2017-12-12 06:54:17 status half-installed libgdbm-dev:amd64 1.8.3-13.1
2017-12-12 06:54:17 status unpacked libgdbm-dev:amd64 1.8.3-13.1
2017-12-12 06:54:17 status unpacked libgdbm-dev:amd64 1.8.3-13.1
2017-12-12 06:54:17 install xorg-sgml-doctools:all <none> 1:1.11-1
2017-12-12 06:54:17 status half-installed xorg-sgml-doctools:all 1:1.11-1
2017-12-12 06:54:17 status unpacked xorg-sgml-doctools:all 1:1.11-1
2017-12-12 06:54:17 status unpacked xorg-sgml-doctools:all 1:1.11-1
2017-12-12 06:54:17 install x11proto-core-dev:all <none> 7.0.26-1
2017-12-12 06:54:17 status half-installed x11proto-core-dev:all 7.0.26-1
2017-12-12 06:54:17 status unpacked x11proto-core-dev:all 7.0.26-1
2017-12-12 06:54:17 status unpacked x11proto-core-dev:all 7.0.26-1
2017-12-12 06:54:17 install libice-dev:amd64 <none> 2:1.0.9-1+b1
2017-12-12 06:54:17 status half-installed libice-dev:amd64 2:1.0.9-1+b1
